product,date,title,rating,body,helpful_count
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,5/5/2015,"1.0 out of 5 stars
Not for me",1,"I purchased this lotion after reading rave reviews and being pleased with the price. Unfortunately, this lotion doesn't work for my skin. I have pretty average skin - not oily and not dry. It isn't flawless, but I don't have any major issues either. I had been using Cetaphil face cream and wanted to try something new. I paired this with the foaming facial cleanser. I stopped using the cleanser after only a day or two because I immediately noticed my skin was parched after using it. Wanting to see if this lotion would work, I began using my VaniCream facial bar soap again and this lotion at night. (I use Eucerin SPF 30 face lotion during the day). After 2+ weeks, I'm not impressed. My face is constantly breaking out (plus taking extremely long to heal) and he skin on my nose is super dry. Since everyone's skin is so different, I'm sure this works wonders for others. Unfortunately, not for me.",4
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,5/8/2022,"1.0 out of 5 stars
Dirty, scratched up bottle",1,The lotion is ok. A little goes a long way. Don’t use too much because it does feel a bit heavy and greasy and I hate that this arrived all scratched up and very dirty. This is after I washed it it looks disgusting and still does. It’s like they left it on the floor and just handed it to me.,5
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,31/1/2024,"1.0 out of 5 stars
El producto está rota",1,"The media could not be loaded.
                



Pensé que llegaría bien pero el producto está roto",0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,20/2/2023,"1.0 out of 5 stars
Second time ordering this product and I'm disappointed",1,This is my second time ordering this item because this lotion is really good. Disappointing that it arrived today with the caps loosely opened and the contents all over the bottle and the box. I live all the way in the Philippines and it's not like I can easily just get it replaced.,3
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,3/11/2023,"1.0 out of 5 stars
Delivered Broken",1,I was unable to use this CeraVe lotion because upon opening the delivery box the pump was broken.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,14/1/2022,"1.0 out of 5 stars
Packed with Broken Pump",1,"I like CeraVe lotion, but the bottle I was delivered had the pump broken off, which makes it unusable as a pump AND exposes the lotion to the outside (since everything would normally be sealed by the pump mechanism).  I am very unhappy with the product sent.  IF I had retained the return slip, I would be returning this item.  The box itself was fine, so whoever packed the item packed a defective item.",2
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,8/8/2023,"1.0 out of 5 stars
Broken",1,The bottle arrived without the pump. It was not anywhere to be found within the box so it seems it was packed with the top exposed and broken. It spilled the the box.,0
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,7/12/2018,"1.0 out of 5 stars
DO NOT BUY!!!!!!!",1,"This is my favorite moisturizer, and I think I've purchased it twice before on Amazon (with no issues).  This time around, however, the moisturizer Amazon sent me was SPOILED- it literally smells like FISH OIL!!!!! Sick! I'm not sure if I just received a defective moisturizer or if maybe the composition of the moisturizer changed while on its way to me.  I didn't feel like going through the hassle of returning the product, so it was a complete waste of money!!!! Thanks for basically just taking my money and running, Amazon.  Never again.",616
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,27/3/2018,"1.0 out of 5 stars
Loved before, but now strange smell?",1,"Update: The smell has gotten way worse, I tried to continue using it, but I feel like I’m putting old stinky product on my face.I have gotten this lotion before and loved it, it’s a great no-frills kind of lotion.This was my first time ordering it online, price is great and obviously with Prime worth it if you time it right to continue using the same lotion.However this one time there’s been an odd smell, I’m not sure how to describe it, fatty? Lipid-like maybe? I’m not sure if it sat too long somewhere, got too hot or too cold in transit or the warehouse or what but it’s pretty fragrant and a little off-putting, and I’m not the only one who could smell it.",2
Amazon.com: Customer reviews: CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,19/9/2023,"1.0 out of 5 stars
Didn’t expect",1,"I got a weird bottle, even the lotion inside was not full. I got a little bit more than half. So disappointed. :(",0
